Controller Output Text File 
File Created on: 29/05/2019 08:35 
controller version: 1.1.0 
time, dcm0_0, dcm0_1, dcm0_2, dcm1_0, dcm1_1, dcm1_2, dcm2_0, dcm2_1, dcm2_2, acc_norm_f, pqr_f.x, pqr_f.y, pqr_f.z, Xg.x, Xg.y, Xg.z, Vg.x, Vg.y, Vg.z, Vb.x, Vb.y, Vb.z, Ag.x, Ag.y, Ag.z, Ab_f.x, Ab_f.y, Ab_f.z, rho, sph_f.v, sph_f.alpha, sph_f.beta, tether_force_b.vector_f.x, tether_force_b.vector_f.y, tether_force_b.vector_f.z, wind_g.vector.x, wind_g.vector.y, wind_g.vector.z, flaps[0], flaps[1], flaps[2], flaps[3], flaps[4], flaps[5], flaps[6], flaps[7], rotors[0], rotors[1], rotors[2], rotors[3], rotors[4], rotors[5], rotors[6], rotors[7]
0.0000,-0.8610,0.2349,0.4511,0.1192,-0.7690,0.6280,0.4944,0.5945,0.6341,-0.4937,-1.8706,0.0594,0.0000,-125.4898,-378.4529,-171.1077,-54.4957,5.0564,28.4869,61.6086,0.2451,-3.3413,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,1.0750,53.0748,0.0221,0.0489,2557.4149,-78171.5969,152808.8629,-10.0000,0.0000,0.0000,-0.4713,-0.4713,0.0000,0.0000,0.1745,0.1745,-0.1745,0.2541,191.9702,179.7870,179.5721,179.3579,210.9738,221.7391,221.7391,221.7391
0.0100,-0.8529,0.2326,0.4675,0.1300,-0.7726,0.6214,0.5057,0.5908,0.6287,-0.7111,-1.5070,0.0081,280.9145,-126.0374,-378.4016,-170.8285,-55.1362,4.8406,27.1643,61.3897,-0.5148,-5.6900,113.0887,93.7719,239.4384,36.8267,95.3049,261.6748,1.0750,52.9019,-0.0192,0.0342,-16101.5037,-60244.8593,195881.0882,-10.0000,0.0000,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,-0.1745,0.3840,211.1167,164.9186,164.8832,164.8479,173.9522,221.7392,221.7392,221.7392
0.0200,-0.8436,0.2333,0.4836,0.1412,-0.7726,0.6190,0.5180,0.5905,0.6188,-0.1481,-2.2891,0.1003,60.7308,-126.5858,-378.3461,-170.5534,-54.2688,6.4664,28.2087,61.3085,-0.9976,-4.7875,-24.1166,-53.7889,14.6071,20.3150,44.5556,-35.9211,1.0750,52.8892,0.0009,0.0252,-33553.3674,-47932.6263,195690.7222,-10.0000,0.0000,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,-0.1745,0.3840,205.9718,155.7414,155.2194,154.6937,170.9608,221.7391,221.7391,221.7391
0.0300,-0.8344,0.2322,0.4999,0.1523,-0.7746,0.6138,0.5298,0.5883,0.6109,-0.6691,-1.5776,-0.0105,262.5824,-127.1259,-378.2751,-170.2717,-53.3914,8.4014,28.6755,61.0184,-2.0339,-4.0157,-105.1163,-229.9707,-70.8067,15.1778,112.0757,-236.9772,1.0750,52.6847,0.0187,0.0055,-39128.4128,-94860.1348,156734.1369,-10.0000,0.0000,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,-0.1745,0.3840,212.6277,161.3521,161.4002,161.4482,167.6552,221.7392,221.7392,221.7392
0.0400,-0.8259,0.2340,0.5129,0.1615,-0.7734,0.6129,0.5401,0.5891,0.6010,0.7451,-1.4388,0.1754,183.9076,-127.6570,-378.1865,-169.9820,-52.5107,9.2443,29.4377,60.7639,-2.0956,-3.5729,-144.4061,-56.8032,-98.7030,56.7870,-48.0004,-168.2058,1.0750,52.5280,0.0296,0.0047,-67468.5245,-13693.9377,217050.1592,-10.0000,0.0000,0.0000,-0.1652,-0.1652,0.0000,0.0000,-0.0348,-0.0348,-0.1745,0.3840,201.1604,179.8778,179.2639,178.6575,201.9454,221.7392,221.7393,221.7395
0.0500,-0.8192,0.2343,0.5235,0.1679,-0.7748,0.6095,0.5484,0.5872,0.5953,-0.8062,-1.3436,0.1752,288.9045,-128.1749,-378.0899,-169.6874,-51.1319,10.4147,29.4946,59.8100,-2.7288,-2.8603,-157.4537,-236.4978,-52.3728,60.5466,115.5891,-257.7578,1.0750,51.6743,0.0460,-0.0075,-34331.9727,-111812.4307,96825.3664,-10.0000,0.0000,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,-0.1441,0.3840,213.9629,159.4079,158.6001,157.7961,163.9976,221.7395,221.7399,221.7405
0.0600,-0.8102,0.2361,0.5366,0.1761,-0.7750,0.6069,0.5591,0.5862,0.5863,0.7820,-1.6820,0.2122,196.9211,-128.6819,-377.9778,-169.3895,-50.7036,11.2779,29.7710,59.7101,-3.2600,-2.9051,99.7019,152.2399,75.2359,-11.9014,-50.3560,190.0014,1.0750,51.6748,0.0476,-0.0174,-43137.8952,-22324.5552,117071.1954,-10.0000,0.0000,0.0000,-0.2311,-0.2311,0.0000,0.0000,0.0311,0.0311,-0.1745,0.3431,198.3451,181.0464,180.3157,179.5934,206.0960,221.7393,221.7396,221.7401
0.0700,-0.8015,0.2394,0.5480,0.1831,-0.7741,0.6061,0.5692,0.5861,0.5766,-0.3759,-1.3592,0.2694,198.7130,-129.1964,-377.8777,-169.0973,-52.0303,9.0432,28.7479,59.7238,-2.6061,-6.4540,103.2651,138.6512,97.9746,-1.6075,-25.1771,197.1050,1.0750,51.7182,-0.0188,-0.0041,-44089.4458,-32570.4614,123016.2892,-10.0000,0.0000,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,-0.1745,-0.0512,190.6671,189.8366,189.0261,193.2769,221.7392,221.7394,221.7400,217.2830
0.0800,-0.7926,0.2401,0.5604,0.1902,-0.7759,0.6015,0.5793,0.5833,0.5694,0.1309,-1.6359,0.2551,85.2889,-129.7189,-377.7873,-168.8139,-52.3358,9.2184,28.0592,59.4905,-3.3503,-7.8100,-28.0712,-77.4474,22.0931,20.3160,66.2420,-49.7339,1.0750,51.6200,-0.0428,-0.0184,-14988.6127,-86629.2044,44445.6750,-10.0000,0.0000,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,-0.1745,0.3840,204.7628,174.2198,173.2554,172.3056,192.3810,221.7393,221.7397,221.7404
0.0900,-0.7826,0.2452,0.5722,0.1978,-0.7736,0.6021,0.5903,0.5844,0.5569,0.6397,-1.5968,0.2827,84.3777,-130.2400,-377.6933,-168.5311,-51.9389,9.3105,28.4936,59.3079,-3.2877,-8.2454,-23.4188,60.8361,-53.5734,-1.2601,-84.1092,-6.6065,1.0750,51.5504,-0.0490,-0.0162,-35230.6512,14718.3514,125327.4195,-10.0000,0.0000,0.0000,-0.4779,-0.4779,0.0000,0.0000,0.1745,0.1745,-0.1745,0.3730,201.8123,179.7400,178.7506,177.7822,201.2822,221.7394,221.7398,221.7408
